overall,team,player,position,bid
148,Patagonia Pipers,Dameon Pierce,RB,1
149,Goleta Gringos,Keenan Allen,WR,1
150,Honolulu Horndogs,Harrison Butker,K,1
151,Patagonia Pipers,Colston Loveland,TE,2
152,DC Mighty Cucks,Kendre Miller,RB,1
153,DC Mighty Cucks,Dylan Sampson,RB,2
154,Patagonia Pipers,Tucker Kraft,TE,2
155,Poulsbo Pollywogs,Rachaad White,RB,1
156,Squaw Valley Skinners,Tyler Allgeier,RB,1
157,Westeros Warlords,Dalton Kincaid,TE,1
158,Pasco Pounders,Darnell Mooney,WR,1
159,Patagonia Pipers,Vikings D/ST,DST,1
160,Goleta Gringos,Najee Harris,RB,1
161,Tijuana Sanchitos,Michael Pittman Jr.,WR,1
162,DC Mighty Cucks,Bhayshul Tuten,RB,1
163,San Diego Shadowcöcks,Will Shipley,RB,1
164,Fairview Fat Cats,Rashid Shaheed,WR,1
165,Poulsbo Pollywogs,Justin Herbert,QB,1
166,Westeros Warlords,Jason Myers,K,1
167,Pasco Pounders,Marvin Mims Jr.,WR,1
168,Goleta Gringos,Rashod Bateman,WR,1
169,Tijuana Sanchitos,Rico Dowdle,RB,1
170,DC Mighty Cucks,Redskins D/ST,DST,3
171,San Diego Shadowcöcks,Christian Kirk,WR,1
172,Fairview Fat Cats,J.J. McCarthy,QB,1
173,Poulsbo Pollywogs,Dallas Goedert,TE,1
174,Goleta Gringos,Dont'e Thornton Jr.,WR,1
175,Tijuana Sanchitos,Brandon Aiyuk,WR,1
176,DC Mighty Cucks,Ka'imi Fairbairn,K,1
177,Fairview Fat Cats,Justice Hill,RB,1
178,Poulsbo Pollywogs,Lions D/ST,DST,1
179,Goleta Gringos,Hunter Henry,TE,1
180,Tijuana Sanchitos,Tre' Harris,WR,1
181,Fairview Fat Cats,Taysom Hill,QB,1
182,Poulsbo Pollywogs,Cedric Tillman,WR,1
183,Goleta Gringos,Blake Corum,RB,1
184,Tijuana Sanchitos,Zach Ertz,TE,1
185,Poulsbo Pollywogs,Tyler Bass,K,1
186,Goleta Gringos,Blake Grupe,K,1
187,Tijuana Sanchitos,Roschon Johnson,RB,1
188,Poulsbo Pollywogs,Wan'Dale Robinson,WR,1
189,Tijuana Sanchitos,DeMario Douglas,WR,1
190,Tijuana Sanchitos,Tua Tagovailoa,QB,1
191,Tijuana Sanchitos,Tyler Loop,K,1
192,Tijuana Sanchitos,Colts D/ST,DST,1
